"Timestamp","Address","Equipment Code","Type","Query","Reading"
"2026-04-28T21:31:19.518","22","HP 3457A","Multimeter","++read","232.51200E-03"
"2026-04-28T21:31:20.175","22","HP 3457A","Multimeter","++read","420.00000E-06"
"2026-04-28T21:31:21.553","22","HP 3457A","Multimeter","++read","2.4900000E-03"
"2026-04-28T21:31:22.658","22","HP 3457A","Multimeter","++read","-392.37100E-03"
"2026-04-28T21:31:23.643","22","HP 3457A","Multimeter","++read","31.425000E-03"
"2026-04-28T21:31:24.634","22","HP 3457A","Multimeter","++read","232.89900E-03"
"2026-04-28T21:31:25.296","22","HP 3457A","Multimeter","++read","420.00000E-06"
"2026-04-28T21:31:26.648","22","HP 3457A","Multimeter","++read","-90.000000E-06"
"2026-04-28T21:31:28.004","22","HP 3457A","Multimeter","++read","2.7200000E-03"
"2026-04-28T21:31:29.370","22","HP 3457A","Multimeter","++read","2.4900000E-03"
"2026-04-28T21:44:18.470","22","HP 3457A","Multimeter","++read","227.12300E-03"
"2026-04-28T21:44:20.453","22","HP 3457A","Multimeter","++read","229.77000E-03"
"2026-04-28T21:44:22.403","22","HP 3457A","Multimeter","++read","226.68000E-03"
"2026-04-28T22:43:54.033","10","Agilent 6632B","Power Supply","MEASure:VOLTage?","4.99993E+0"
"2026-04-28T22:43:55.600","10","Agilent 6632B","Power Supply","MEASure:VOLTage?","4.99990E+0"
"2026-04-28T22:43:57.154","10","Agilent 6632B","Power Supply","MEASure:VOLTage?","4.99991E+0"
"2026-04-28T22:43:58.717","10","Agilent 6632B","Power Supply","MEASure:VOLTage?","4.99989E+0"
